seq,IR,Red
50,224215,203900
50,224210,203904
51,224225,203926
51,224159,203933
51,224159,203887
51,224133,203898
51,224119,203912
51,224102,203884
51,224071,203852
51,224063,203847
51,224041,203926
51,224031,203852
51,224024,203833
51,224012,203761
51,224007,203749
51,224010,203806
51,224009,203830
51,223997,203792
51,224006,203814
51,224009,203766
51,224003,203800
51,224017,203836
51,224025,203876
51,224023,203899
51,224035,203899
51,224051,203888
51,224049,203834
51,224049,203797
51,224060,203819
51,224071,203843
51,224072,203792
51,224078,203793
51,224075,203828
51,224074,203804
52,224075,203804
52,224091,203837
52,224100,203870
52,224111,203824
52,224104,203848
52,224112,203853
52,224107,203921
52,224107,203821
52,224115,203799
52,224115,203817
52,224111,203918
52,224110,203873
52,224106,203915
52,224113,203858
52,224106,203857
52,224109,203841
52,224084,203889
52,224084,203870
52,224085,203797
52,224092,203857
52,224078,203785
52,224093,203860
52,224101,203822
52,224091,203839
52,224092,203818
52,224118,203834
52,224109,203806
52,224114,203808
52,224130,203820
52,224128,203846
52,224122,203819
52,224131,203825
53,224151,203866
53,224151,203799
53,224148,203834
53,224160,203845
53,224166,203843
53,224162,203809
53,224154,203781
53,224162,203864
53,224173,203853
53,224175,203821
53,224172,203882
53,224166,203835
53,224170,203825
53,224161,203774
53,224174,203890
53,224169,203773
53,224157,203813
53,224180,203881
53,224192,203917
53,224195,203818
53,224200,203865
53,224199,203877
53,224198,203865
53,224198,203910
53,224201,203911
53,224186,203973
53,224192,203848
53,224190,203806
53,224195,203822
53,224177,203830
53,224194,203834
53,224193,203817
54,224200,203854
54,224210,203787
54,224218,203839
54,224243,203891
54,224243,203853
54,224230,203868
54,224242,203854
54,224252,203852
54,224238,203812
54,224247,203808
54,224244,203824
54,224264,203857
54,224254,203813
54,224265,203862
54,224270,203849
54,224264,203842
54,224272,203820
54,224275,203904
54,224264,203821
54,224264,203876
54,224269,203947
54,224284,203937
54,224266,203900
54,224271,203953
54,224267,203912
54,224263,203910
54,224249,203896
54,224259,203923
54,224262,203838
54,224241,203846
54,224265,203858
54,224232,203874
55,224201,203832
55,224063,203827
55,224050,203804
55,224039,203874
55,224048,203780
55,224030,203874
55,224040,203816
55,224037,203834
55,224051,203748
55,224047,203805
55,224059,203792
55,224072,203808
55,224064,203792
55,224077,203759
55,224086,203799
